SECTION 1: MARKET PRICES
Run,Mean (EUR/MWH),Wtd Avg (EUR/MWH),% Hours = 0,% Hours < 0,% Hours > 100,Max (EUR/MWH),Std Dev,N Hours
mpvar_reduced_high_co2,9158521918.0,0.0,9158521918.0,224544991.0,40.787
fit_scenario,20807034065.0,0.0,20807034065.0,224214002.0,92.7999
fit_only_low_co2,20807034065.0,0.0,20807034065.0,222847681.0,93.3689
fit_only_high_co2,20807034065.0,0.0,20807034065.0,224544991.0,92.6631

SECTION 6: LCOE COVERAGE RATIO
Run,AgentId,Tech,Support Scheme,LCOE (EUR/MWH),Mkt Price (EUR/MWH),Coverage Ratio,Support Needed (EUR/MWH),Awarded MWH
germany_baseline,10,PV,FIT,120.0,38.8112,0.3234,81.1888,28620165.0
germany_baseline,20,WindOn,FIT,85.0,38.8112,0.4566,46.1888,4405513.0
germany_baseline,50,RunOfRiver,FIT,100.0,38.8112,0.3881,61.1888,15923598.0
germany_baseline,60,PV,MPVAR,97.21,38.8112,0.3993,58.3988,7415932.0
germany_baseline,61,PV,MPVAR,202.91,38.8112,0.1913,164.0988,3938613.0
germany_baseline,62,PV,MPVAR,286.67,38.8112,0.1354,247.8588,1137391.0
germany_baseline,63,PV,MPVAR,340.07,38.8112,0.1141,301.2588,745643.0
germany_baseline,64,PV,MPVAR,440.05,38.8112,0.0882,401.2388,182229.0
germany_baseline,70,WindOn,MPVAR,70.58,38.8112,0.5499,31.7688,7193449.0
germany_baseline,71,WindOn,MPVAR,79.65,38.8112,0.4873,40.8388,10721006.0
germany_baseline,72,WindOn,MPVAR,87.24,38.8112,0.4449,48.4288,26422091.0
germany_baseline,73,WindOn,MPVAR,94.17,38.8112,0.4121,55.3588,27424090.0
germany_baseline,74,WindOn,MPVAR,100.26,38.8112,0.3871,61.4488,23948876.0
germany_baseline,80,WindOff,MPVAR,154.0,38.8112,0.252,115.1888,2186297.0
germany_baseline,81,WindOff,MPVAR,174.5,38.8112,0.2224,135.6888,256638.0
germany_baseline,82,WindOff,MPVAR,184.0,38.8112,0.2109,145.1888,6848016.0
germany_baseline,83,WindOff,MPVAR,194.0,38.8112,0.2001,155.1888,15086426.0
low_co2,10,PV,FIT,120.0,24.5766,0.2048,95.4234,28620165.0
low_co2,20,WindOn,FIT,85.0,24.5766,0.2891,60.4234,4405513.0
low_co2,50,RunOfRiver,FIT,100.0,24.5766,0.2458,75.4234,15923598.0
low_co2,60,PV,MPVAR,97.21,24.5766,0.2528,72.6334,7415703.0
low_co2,61,PV,MPVAR,202.91,24.5766,0.1211,178.3334,3938492.0
low_co2,62,PV,MPVAR,286.67,24.5766,0.0857,262.0934,1137356.0
low_co2,63,PV,MPVAR,340.07,24.5766,0.0723,315.4934,745620.0
low_co2,64,PV,MPVAR,440.05,24.5766,0.0558,415.4734,182223.0
low_co2,70,WindOn,MPVAR,70.58,24.5766,0.3482,46.0034,7183509.0
low_co2,71,WindOn,MPVAR,79.65,24.5766,0.3086,55.0734,10706192.0
low_co2,72,WindOn,MPVAR,87.24,24.5766,0.2817,62.6634,26385582.0
low_co2,73,WindOn,MPVAR,94.17,24.5766,0.261,69.5934,27386196.0
low_co2,74,WindOn,MPVAR,100.26,24.5766,0.2451,75.6834,23915784.0
low_co2,80,WindOff,MPVAR,154.0,24.5766,0.1596,129.4234,2185081.0
low_co2,81,WindOff,MPVAR,174.5,24.5766,0.1408,149.9234,256495.0
low_co2,82,WindOff,MPVAR,184.0,24.5766,0.1336,159.4234,6844208.0
low_co2,83,WindOff,MPVAR,194.0,24.5766,0.1267,169.4234,15078036.0
high_co2,10,PV,FIT,120.0,64.3411,0.5362,55.6589,28620165.0
high_co2,20,WindOn,FIT,85.0,64.3411,0.757,20.6589,4405513.0
high_co2,50,RunOfRiver,FIT,100.0,64.3411,0.6434,35.6589,15923598.0
high_co2,60,PV,MPVAR,97.21,64.3411,0.6619,32.8689,7416065.0
high_co2,61,PV,MPVAR,202.91,64.3411,0.3171,138.5689,3938684.0
high_co2,62,PV,MPVAR,286.67,64.3411,0.2244,222.3289,1137412.0
high_co2,63,PV,MPVAR,340.07,64.3411,0.1892,275.7289,745656.0
high_co2,64,PV,MPVAR,440.05,64.3411,0.1462,375.7089,182232.0
high_co2,70,WindOn,MPVAR,70.58,64.3411,0.9116,6.2389,7198478.0
high_co2,71,WindOn,MPVAR,79.65,64.3411,0.8078,15.3089,10728501.0
high_co2,72,WindOn,MPVAR,87.24,64.3411,0.7375,22.8989,26440563.0
high_co2,73,WindOn,MPVAR,94.17,64.3411,0.6832,29.8289,27443262.0
high_co2,74,WindOn,MPVAR,100.26,64.3411,0.6417,35.9189,23965619.0
high_co2,80,WindOff,MPVAR,154.0,64.3411,0.4178,89.6589,2186860.0
high_co2,81,WindOff,MPVAR,174.5,64.3411,0.3687,110.1589,256704.0
high_co2,82,WindOff,MPVAR,184.0,64.3411,0.3497,119.6589,6849778.0
high_co2,83,WindOff,MPVAR,194.0,64.3411,0.3317,129.6589,15090307.0
no_support,10,PV,FIT,120.0,38.8161,0.3235,81.1839,28620165.0
no_support,20,WindOn,FIT,85.0,38.8161,0.4567,46.1839,4405513.0
no_support,50,RunOfRiver,FIT,100.0,38.8161,0.3882,61.1839,15923598.0
no_support,60,PV,MPVAR,97.21,38.8161,0.3993,58.3939,7401232.0
no_support,61,PV,MPVAR,202.91,38.8161,0.1913,164.0939,3930806.0
no_support,62,PV,MPVAR,286.67,38.8161,0.1354,247.8539,1135137.0
no_support,63,PV,MPVAR,340.07,38.8161,0.1141,301.2539,744165.0
no_support,64,PV,MPVAR,440.05,38.8161,0.0882,401.2339,181868.0
no_support,70,WindOn,MPVAR,70.58,38.8161,0.55,31.7639,7183138.0
no_support,71,WindOn,MPVAR,79.65,38.8161,0.4873,40.8339,10705639.0
no_support,72,WindOn,MPVAR,87.24,38.8161,0.4449,48.4239,26384220.0
no_support,73,WindOn,MPVAR,94.17,38.8161,0.4122,55.3539,27384782.0
no_support,74,WindOn,MPVAR,100.26,38.8161,0.3872,61.4439,23914549.0
no_support,80,WindOff,MPVAR,154.0,38.8161,0.2521,115.1839,2183816.0
no_support,81,WindOff,MPVAR,174.5,38.8161,0.2224,135.6839,256347.0
no_support,82,WindOff,MPVAR,184.0,38.8161,0.211,145.1839,6840245.0
no_support,83,WindOff,MPVAR,194.0,38.8161,0.2001,155.1839,15069307.0
no_support_low_co2,10,PV,FIT,120.0,24.6894,0.2057,95.3106,28620165.0
no_support_low_co2,20,WindOn,FIT,85.0,24.6894,0.2905,60.3106,4405513.0
no_support_low_co2,50,RunOfRiver,FIT,100.0,24.6894,0.2469,75.3106,15923598.0
no_support_low_co2,60,PV,MPVAR,97.21,24.6894,0.254,72.5206,7339386.0
no_support_low_co2,61,PV,MPVAR,202.91,24.6894,0.1217,178.2206,3897960.0
